$	~[,SIF][,DOL][,SI]
廫	~*[LUEM]
廬	~*[LZQF]::[LFPV][LFP]
廭	~*[LHHB]
廮	~*[LSG]::[LMBG]
廯	~*[LUFH]
廰	~*[LRJH]::[LRJV][LRJ]
廱	~*[LSOV]
廲	~*[LLLB]
廳	~*[LH]::[LRKH][LRJ][LRKJ][LTI]
廴	~*[,WN]::[WN]
廵	~[SWNS][SWN]
延	~*[PZW]
廷	~*[KW]::[KWNV][KWN][KWV]
廸	~[IQWV][IQW]
廹	~[PDW]
建	~*[EWN]
廻	~[OOWV][OOW]
廼	~[CWNF][CWN]
廽	~[OHWV][OOWR][OHW][OOW]
廾	~*[RJV]::[RJ]
廿	~*[ROV]::[RO]
弁	~*[URJ]
异	~[FLRR][FLR]
弃	~[TRJ]
弄	~*[KR]::[KRJ]
弅	~[BDRV][BDR]
弆	~[YURR][YUR]
弇	~*[AOR]
弈	~*[LFR]
弊	~*[BRJ][SRV]::[SNSR]
弋	~*[AXX]
弌	~[,DEV][AXER][AXE][,DE]
弍	~[,DRV][AXRV][AXR][,DR]
弎	~*[AXS]::[,DSS][,DS]
式	~*[AXI]
弑	~[XATIV][XTAIV][XATI][XTAI]
弒	~*[XIV]::[XATI][XTAI]
弓	~*[QK]
弔	~*[QIJ]
引	~*[QII]
弗	~*[VJ]
弘	~*[QUA]
弙	~*[QUJ]
弚	~*[BQI]
弛	~*[QAL]
弜	~[QQK]
弝	~*[QCL]
弞	~[QINR][QIN]
弟	~*[TP]::[BQIP][BQP]
弡	~*[QFF]
弢	~*[QEU]
弣	~*[QPA]
弤	~*[QXE]
弥	~*[QVS]::[QNSV][QNS]
弦	~*[QLW]
弧	~*[QG]::[QGAV][QGNR][QGA][QGN]
弨	~*[QDO]
弩	~*[GUQ]
弫	~[QRE]
弬	~[QRE]
弭	~*[QRJ]
弮	~[BNQV][BNQ]
弯	~[LFQV][LFQ]
弰	~*[QSU]
弱	~*[QB]::[QBQB][QMQM]
弲	~[QOUV][QOU]
弳	~*[QESI]::[QSIV][QUIR][QUYV][QSI][QUI][QUY]
弴	~*[QLZ]::[QLHZ][QLOZ]
張	~*[QEK]
弶	~*[QLS]::[QLOS]
強	~*[QUC][QOC]
弸	~*[QUU]
弹	~[QBQJV][QOJV][QOOJV][QBQJ][QOJ][QOOJ]
强	~[QOCV][QUCV][QOC][QUC]
弻	~*[QEOQ][QTOQ]
弼	~*[QTDQ]
弽	~*[QST]
弾	~*[QSQJ]::[QOJR][QOOJR][QOJ][QOOJ]
弿	~*[NJQ]::[NJBQ]
彀	~*[YNQU]::[YNEUF][YNEU]
彂	~*[FEQD]
彃	~*[QQJ]::[QQJQ][QQRJ][QQRQ]
彄	~*[QFX]::[QFOO]
彆	~*[BQK][BQY]::[SNSQ]
彇	~*[QEH]
彈	~*[QOJ]::[QOOJ][QBQJ]
彉	~*[QKA]::[QREB]
彊	~*[QEQE]
彋	~*[QON]::[QFEK]
彌	~*[QRX][QNS]
彍	~[QLKV][QLRBV][QLK][QLRB]
彎	~*[LFQ]::[SISQ][ISSQ]
彏	~*[QMMU]
彐	~[,EEV][EE][,EE]
彑	~*[,CE]::[CEER][CEE]
归	~[REES][YEES][REE][YEE]
当	~[SEES][SEE][SO]
彔	~*[CEW]
录	~[CEWV][EWAS][EWNB][CEW][EWA][EWN]
彖	~*[CEQ]
彗	~[FFEV][FFE]
彘	~*[CEFF][CEVF]
彙	~*[CENT][CNQT]
彚	~*[ENQT]::[CENTV][CENT]
彛	~[CEMRV][EMBRV][CEMR][EMBR]
彝	~*[CEMR][EMSR]
彞	~[EMSR]
彟	~[EARU]
彠	~*[EARU][EIOU]
彡	~*[.MP]::[MP][,MP]
形	~*[KMP]
彣	~*[WMP]
彤	~*[NLM]::[NAEM]
彥	~*[WLM][LLM][LPM]
彦	~[LLMV][LPMV][WLMV][LLM][LPM][WLM]
彧	~*[AFOE][AQME][AQOM][AXME]::[AQOEV][HMXV][AQOE][HMX]
彨	~*[ENAM]::[LMP]
彩	~*[EM]::[ETM][MMP]
彪	~*[ZRM]
彫	~*[NMV]::[NYOM][NMPV][NMP]
彬	~*[TTM]
彭	~*[YDM][YMV]::[YOBM]
彮	~*[NWM]::[NBBM]
彯	~*[CRSM]
彰	~*[LM]::[LDJM]
影	~*[DM]::[DLOM][DLSM]
彲	~*[LMP]::[LLBM]
彳	~*[MII][,MI]
彴	~*[MINA]
彵	~[MIA]
彶	~*[MIPU][MIRN]
彷	~*[MIF]
彸	~*[MIBU]
役	~*[MIRU]
彺	~*[MIK]
彼	~*[MIP]
彽	~*[MIXE]
彾	~*[MIAP]::[MIATS][MIAT]
彿	~*[MVV]::[MIVV][MIV]
往	~*[MK]::[MIAK]
征	~*[MIEZ]
徂	~*[MIM]
徃	~*[MIS]
径	~[MIUYV][MIUY]
待	~*[DC]::[MIYA]
徆	~*[MIC]
徇	~*[MIND]
很	~*[HN]::[MIDK]
徉	~[MIBHV][MIBH]
徊	~*[MIOO]
律	~*[MIE]
後	~*[I]::[MIWP][FOOS][FOO]
徍	~*[MIYY]
徎	~*[MIOK]
徏	~*[MIZS]
徐	~*[XH]::[MIBH][MIATR][MIAT]
徑	~*[MIEI][MISI][MIUY]::[MIUIV][MIUI]
徒	~*[MZV]::[MIYZ]
従	~[MIBZV][MIBZ][MZ]
徔	~*[MIRZ]
徖	~*[MINS]
得	~*[DD]::[MIDA]
徘	~*[MIRS]
徙	~*[MIZZ]
徚	~*[MIJS]::[MICS]
徛	~*[MIDO]::[MIVR][MIV]
徜	~*[MISO]
徝	~*[MIJL][MIJE][MIJM]::[MIJ]
從	~*[MZ]::[MIBZ][BBN]
徟	~*[MIN]::[MINO]
徠	~*[MIL]
御	~*[MPV]::[MIWPV][MIWP]
徢	~*[MIJZ]
徣	~*[MIRD]
徤	~*[MIEW]
徥	~*[MIDZ]::[MIJV][MIJ]
徦	~*[MIO]::[MIOU]
徧	~[MIFMV][MIFM]
徨	~*[MIPK]
復	~*[MIV]::[MIVP][VDPR][VXR][VDP][VX]
循	~*[MM]::[MIKM][MIXM]
徫	~*[MIW]::[MIWSV][MIWS]
徬	~*[MIG]::[MILF]
徭	~*[MIEE][MIEU][MIUE][MIUU]
微	~*[RZ]::[MIRP][MIEP]
徯	~*[MIED]
徰	~[MIEZ]
徱	~[MICS]
徲	~*[MICS]
徳	~[MHR][MIJHV][MIJR][MH][MIJ][MIJH]
徴	~[MIEPL][MIKPV][MIEP][MIKP]
徵	~*[KP]::[MIKP][MIEPV][MIEP]
徶	~*[MIB]::[MISPV][MISP]
德	~*[MH]::[MIJH][MIJ]
徸	~*[MILQ]
徹	~*[MIT]::[MITP][MICD]
徺	~*[MIYR]
徻	~*[MIAD]
徼	~*[MIPP]
徽	~*[MISP]::[MIEPR][MIEP]
徾	~*[MIIP]::[MIEPF][MIEP]
徿	~*[MILL]::[MIAV][MIA]
忀	~*[MILK]::[MILV][MIL]
忁	~*[MIDW]
忂	~*[MIMV]
心	~*[HA]
忄	~*[,HI]::[,HA]
必	~*[HP]::[HPX]
忇	~*[HDY]::[HDXV][HDX]
忈	~[RHA]
忉	~*[HDP]
忊	~*[HTI]
忋	~[HFL]
忌	~*[FLH]
忍	~*[DAH]
忎	~*[GHA]
忏	~[HGJV][HGJ]
忐	~[FHAV][FHA]
忑	~[FHAR][FHA]
忒	~*[AXH]
忓	~[HGJS][HGJ]
忔	~*[HVZ]
忕	~*[HDN]
忖	~*[HAA]
志	~*[YHA]
忘	~*[FHA]
忙	~*[HFL]
忚	~*[HAL]
忛	~[HRAV][HRA]
応	~[IAV][LHAR][IA][LHA]
忝	~*[GNF][EDH][GNH][PDH]::[EDFV][PDFV][EDF][PDF]
忞	~[WHAV][WHA]
忟	~*[HWX]
忠	~*[CHA]
忡	~*[HCI][HCJ]
忢	~[WHA]
忣	~*[HPU][HRN]
忤	~*[HWJ]
忥	~[KHAV][KHA]
忦	~*[HBR]
忧	~[HAKV][HAK]
忨	~*[HRR]
忩	~*[BUH]
忪	~*[HBU]
快	~*[HJN]
忬	~[HUIV][HUI]
忭	~*[HLP]
忮	~*[HJU]
忯	~*[HXX]
忰	~*[HKJ]
忱	~*[HKL][HNR]
忲	~*[HDA]
忳	~*[HEL]
忴	~*[HAY]
念	~*[AYH]
忶	~[HTAV][HTA]
忷	~*[HXU]
忸	~*[HEE]
忹	~*[HKE]
忺	~*[HIN]
忻	~*[HKI]
忼	~[HLRV][HLR]
忽	~*[NMH]
忾	~[HKLS][HKZV][HKL][HKZ]
忿	~*[BDH]
怀	~[HBAV][HBA]
怇	~[HFFS][HFF]
怈	~*[HSL]
怉	~*[HNL]::[HNOL]
怊	~[HDOV][HDO]
怋	~[HOXV][HOX]
怌	~*[HBE]
怍	~[HVFV][HVF]
怎	~*[VH]::[VFH]
怏	~*[HCN]
怐	~[HNOR][HNO]
怑	~*[HBJ]
怒	~*[GH]::[GUH]
怓	~*[HGU]
怔	~*[HEZ]
怕	~*[HPD]
怖	~*[HXN]
怗	~*[HZO]
怘	~[JOH]
怙	~*[HJO]
怚	~[HMEV][HME]
怛	~*[HDE]
怜	~[HAPV][HATR][HAP][HAT]
思	~*[QHA]
怞	~*[HIQ]
怟	~[HXA][HXE]
怠	~*[UOH]
怡	~*[HUO]
怢	~[HSNV][HSN]
怣	~*[SNH]
怤	~[PAHV][PAH]
急	~*[NEH]
怦	~[HPJV][HPJ]
性	~*[HSE]
怨	~*[CPH]
怩	~*[HCF]
怪	~*[HUY][HUI]
怫	~*[HVJ]
怬	~*[HFO]
怭	~[HHPV][HHP]
怮	~*[HWD]
怯	~*[HYU]
怰	~[HLWV][HLW]
怱	~[NQHV][NQH]
怲	~*[HENB]::[HENV][HEN]
怳	~*[HOR]
怴	~*[HAQF][HAQI]
怵	~[HATV][HAT]
怶	~[HPXS][HPX]
怷	~*[ATH]
怸	~[ATH]
怹	~*[PAH]
怽	~[HQBV][HYSV][HQB][HYS]
怾	~[HOB]
恀	~[HCCV][HCC]
恁	~*[PKH]
恂	~*[HND]
恃	~*[HYA]
恄	~*[HYO]
恅	~*[HYPF]
恆	~*[HEV]::[HDAE][HEDEV][HE][HEDE]
恇	~*[HFK]
恈	~*[HUS]
恉	~*[HFD]
恊	~*[HDDD]
恋	~[LFHR][LFH]
恌	~*[HRA]::[HRBB]
恍	~*[HSER]
恎	~[HPEV][HPE]
恏	~[GZHV][GZH]
恐	~*[IH]::[IRAH][IZH]
恑	~*[HNLP]::[HNPV][HNP]
恒	~*[HEDE]::[HDAEV][HDAE]
恓	~*[HCO]
恔	~*[HLX]
恕	~*[GOH]
恖	~[POXH][PAR][PA]
恗	~*[HXK]::[HDRK]
恘	~*[HPT]
恙	~*[BKH]
恚	~*[YYH]
恛	~[HOOV][HOO]
恜	~*[HAXI]
恝	~[FDHV][HDHV][FDH][HDH]
恞	~*[HEN]::[HJQB]
恟	~*[HNXU]
恠	~[HXIYV][HXIY]
恡	~*[HXXU]
恢	~*[HXF][HLF]
恣	~*[BIH]::[RIHV][RIH]
恤	~*[HPF]
恥	~*[RHA]::[RZEV][RZE]
恦	~*[HPNO]
恧	~*[TNRH]::[RHAR][RHA]
恨	~*[HDK]
恩	~*[ODH]
恪	~*[HPO]
恫	~*[HNEO]
恬	~*[HGO]
恭	~*[RBF]::[RBHV][RBH]
恮	~[HBKV][HBK]
息	~*[PMH]
恰	~*[HAO]
恱	~*[HBUR]
恲	~*[HBK]
恳	~[DKHV][DKH]
恴	~[LDHV][LDH]
恵	~[CHAR][JQHR][CHA][JQH]
恼	~[HLXUV][HSOR][HWUV][HLXU][HSO][HWU]
恾	~*[HRF]
恿	~*[THA]::[TNQH][WTNH]
悀	~*[HTJ]::[HTNQ]
悁	~*[HOU]
悂	~*[HBY]
悃	~*[HOT]
悄	~*[HU]::[HSUV][HSU]
悅	~*[HF]::[HBORV][HBOR][HR][HRV]
悆	~*[BHH]
悇	~*[HBH]
悈	~*[HAQR]
悉	~*[MHA][ETH]
悊	~[JKHV][JKH]
悋	~[HWOV][HWO]
悌	~*[HTP]::[HBQP]
悍	~*[HDG]
悎	~[HSOV][HSO]
悏	~[HGN]
悐	~*[QFH]
悑	~[HAJQ][HIJ]
悒	~*[HOC]::[HOCL]
悓	~[HMRR][HMR]
悔	~*[HM]::[HVOM]
悕	~[HXXNV][HXXN]
悖	~*[HJNZ]
悗	~*[HDCR][HNCR]::[HELV][HEL]
悘	~*[FVDH]
悙	~*[HLW]::[HLHW][HLOW]
悚	~*[HVS]::[HJCS]
悛	~*[HHX]::[HUBP][HURP]
悜	~[HOKR][HOK]
悝	~*[HQE]
悞	~*[HOKD]
悟	~*[HWO]
悠	~*[PIPH]
悡	~*[HRH]
悢	~*[HAN]::[HADK]
患	~*[CCH]
悤	~[POCH][POPH][PA]
悥	~[IHA]
悦	~[HBORR][HBOR]
悧	~*[HHR]
您	~*[PHV]::[PNSH]
悩	~[HSOS][HSXUV][HSO][HSXU]
悪	~[OHAR][OHAV][OHA]
悮	~*[HOED][HOGN]
悰	~*[HNRS]::[HNSV][HNS]
悱	~*[HRSS]
悲	~*[QT]::[RSSH]
悳	~*[JHA]::[JMLH]
悴	~*[HJJ]
悵	~*[HEK]
悶	~[MHAV][MHV][MH][MHA]
悷	~*[HFAD]
悸	~*[HHZ]
悹	~[NBHV][NBH]
悺	~*[HNB]
悻	~*[HYJ]::[HYBG]
悼	~*[HQJ]::[HZDJ]
悽	~*[HJG]::[HJEG]
悾	~*[HNBI][HNRI]
悿	~*[HGNF][HGNH][HPDF][HPDH]
惀	~*[HAM]
惁	~*[TKH]
惂	~[HDG][HNG]
惃	~*[HDB]
惄	~*[FSUH]
情	~*[HHU]
惆	~[HNOV][HNYOV][HNO][HNYO]
惇	~*[HLZ]::[HLOZ][HLHZ]
惈	~[HQTV][HQT]
惉	~*[WZOH]
惊	~[HLOSV][HLSV][HLOS][HLS]
惋	~*[HNCP]
惌	~*[NCPH]
惍	~*[HAE]
惎	~[KBHR][KBH]
惏	~*[HTT]
惐	~[HAQER][HHER][HAQE][HHE]
惑	~*[HHA]::[AQOH]
惒	~[HOHR][HOH]
惓	~*[HPL]::[HBNL][HBNP]
惔	~[HFFR][HFF]
惕	~*[HEP]::[HDNM]
惖	~*[EHA]::[DENH][DVMH]
惗	~[HAYHV][HAYH]
惘	~*[HNBF]
惙	~*[HUUU]
惚	~*[HNMH]
惛	~*[HXD]
惜	~*[HRD]
惝	~*[HSNO]
惞	~[HKIV][HKI]
惟	~*[HV]::[HVEV][HVE]
惠	~*[JH]::[JQUH][CHAV][CHA][CUH][JQH]
惡	~*[OHA]::[EFEH]
惢	~*[HHH]
惣	~*[SNMH]
惤	~*[HQLW]
惥	~[GBHV][GBH]
惦	~*[HLZO]
惧	~[HMBV][HMB]
惩	~[MIEHV][MIEH]
惪	~*[JMEH]::[JHAV][JHA]
惮	~[HBQJV][HOJV][HOOJV][HBQJ][HOJ][HOOJ]
惰	~*[HXIU]
惱	~*[HSO][HSX][HWU]::[HSPX][HLXU][HSPO][HSWU][HSXU]
惲	~*[HNC]
想	~*[TH]::[TMH]
惴	~*[HDI][HER]::[HETR]
惵	~*[HST]
惶	~*[HPDK]
惷	~*[FNDH]
惸	~*[HNDZ]
惹	~*[RM]::[RXOH][ROHV][ROH]
惺	~*[HDS]
惻	~*[HMBR]
惼	~*[HFM]
惽	~*[HOXD]
惾	~*[HXUP]
惿	~*[HDEZ]::[HJNV][HJN]
愀	~*[HHF]
愁	~*[HFH]
愂	~*[JNZH]
愃	~*[HNE]::[HNEE]
愄	~*[HQK]
愅	~*[HRC]
愆	~*[MIWH]
愇	~[HWJR][HWOSV][HWJ][HWOS]
愈	~*[AHA]::[AURH]
愉	~*[HAI]::[HAUR]
愊	~*[HEOQ]
愋	~*[HEX]::[HEGU]
愌	~*[HNND][HNOB]
愍	~*[OXPH]
愎	~*[HVX]::[HVDP]
意	~*[LDH]
愐	~*[HTOH]
愑	~*[HTND][HTQD]::[HTDV][HTD]
愒	~*[HDNL]::[HDLV][HDL]
愓	~*[HDEM][HDVM]::[HEPV][HEP]
愔	~*[HLD]
愕	~*[HOOK]::[HOKV][HOK]
愖	~*[HKBL][HKLB][HKLR][HKRL]::[HKL]
愗	~*[MPH]
愘	~*[HNPO]
愙	~*[NPOH]
愚	~*[QH]::[QNUH]
愛	~*[HX]::[ENHP][ENXU]
愜	~*[HFG]
愝	~*[HFDG]
愞	~[HRDS][HTNDR][HRD][HTND]
感	~*[AH]::[AQPH][AQVH][KHA]
愠	~[HDFV][HOBFV][HDF][HOBF]
愡	~*[HNQH]
愢	~*[HQH]
愣	~*[HFF]
愥	~[HRC]
愧	~*[HVA]::[HPQU]
愨	~*[YNEH][YNRH]
愩	~*[HIMB]
愪	~[HOMBV][HOMB]
愫	~*[HHS]
愬	~*[BEUH]
愭	~*[HYPD]
愮	~*[HUU]::[HEWU][HUWU]
愯	~*[HVU]
愰	~*[HDSR]
愱	~*[HLBD]
愲	~*[HQU]
愳	~*[MMH]
愴	~*[HBP]::[HADO]
愵	~*[HQBB][HQMM]
愶	~*[HDDU]
愷	~*[HED]::[HEFL]
愸	~[LDHR][LDH]
愹	~*[HNW]::[HNBO]
愺	~*[HRDJ]
愻	~*[ZESH][ZPSH]
愼	~*[HFMB]::[HJBR][HJMBR][HJB][HJMB]
愽	~*[HIA]::[HAJA]
愾	~*[HKM][HKZ]::[HKLV][HKL]
愿	~*[LPDH]::[YHAV][YHA]
慀	~*[HEWD]
慁	~*[OEQH]
慂	~*[WTH]::[WTQH][WTNHV][WTNH]
慃	~*[HBUE]
慄	~*[HCT]
慅	~*[HUAC][HUBC]
慆	~[HEGV][HEG]
慇	~*[PDYH][FEYH][PDNH]
慈	~*[BAV][BHV]::[BEWH][LWLH][RWWH]
慉	~*[HLWQ]
慊	~*[HQN]::[HBEF]
態	~*[UH]::[UUFH][DAHV][DAH][UHA]
慌	~*[HS]::[HRFS]
慍	~*[HDF]::[HOBF]
慎	~*[HJB]::[HJMB]
慏	~*[HNDL]
慐	~*[IMBH]
慒	~*[HRFD][HROD]
慓	~*[HCRS]
慔	~*[HRDD]
慕	~*[RDDF]::[RDDHV][RDDH]
慖	~*[HOAE]::[HOHV][HOH]
慗	~*[VSPH]::[JCSHV][JCSH]
慘	~*[HUM]::[HUUM][HUDM]
慙	~[CKHV][CKH]
慚	~*[HCK]
慛	~[HEVV][HEV]
慜	~*[VHA]::[VOMH]
慝	~*[FRXH][FROH]
慞	~*[HLDJ]
慟	~*[HTD]::[HGQD]
慠	~*[HHNP][HYFP]
慡	~*[HDXX][HJXB]
慢	~*[HMX]::[HDFU]
慣	~*[HOA]::[HOXB][HOMB]
慤	~[YNRHV][YNRH]
慥	~*[HSOW]
慦	~*[NPH]::[AJWH]
慧	~*[FH]::[FFEH]
慨	~*[HDL]::[HDUK][HPDKV][HPDK]
慩	~*[HCW]
慪	~*[HFOO]
慫	~[BBHV][MIBHR][BBH][MIBH]
慬	~[HRCV][HRC]
慭	~[LADH]
慮	~*[ZH]::[ZQH][ZHA]
慯	~*[HVDM]::[HVER][HVE]
慰	~*[CM]::[CRSH][CAH]
慱	~*[HXA]::[HCUA][HJQA][HQAV][HQA]
慲	~*[HMA]::[HRNB]
慳	~*[HRUY]
慴	~*[HEED]
慵	~*[HLEQ]
慶	~*[LDN]::[LYHP]
慷	~*[HLEW]
慸	~*[FNNH]
慹	~[JZHV][YBGHV][YZHV][JZH][YBGH][YZH]
慺	~*[HMG]
慻	~*[HBNM]
慼	~[AQPHV][AQPH]
慽	~*[HAQS]
慾	~*[WIH]::[BBOH]
慿	~*[BMRH]
憀	~[HEEMV][HEMV][HEEM][HEM]
憁	~*[HPA]::[HPOH]
憂	~*[YX]::[TDNP][HAK][TMNP]
憃	~*[FNGH]
憄	~[MIJH]
憅	~*[GQDH]
憆	~*[HSNY]
憇	~[GOGHR][GOGH]
憈	~*[HZFE]
憉	~*[HYDM][HYOM]
憊	~*[PHA][PQH]::[PRPH][PRLH]
憋	~*[BHA]::[SNSH]
憌	~*[ANBH][ANRH]
憍	~*[HGI]::[HGNO][HPDO][HGOV][HGO]
憎	~*[HBO]::[HBQD]
憏	~[HJAR][HJRSV][HJA][HJRS]
憐	~*[HAP][HAT][HMC]::[HMCS]
憑	~*[PKR]::[BMFH]
憒	~*[HQA]::[HCEB]
憓	~[HCHV][HCUHV][HJQHV][HCH][HCUH][HJQH]
憔	~*[HVF]
憕	~*[HJD]
憖	~*[LADH]
憗	~*[LPH]
憘	~*[HYDO][HYOO]
憙	~*[YDOH][YORH]::[YOBHV][YOBH]
憚	~*[HOJ]::[HOOJ][HBQJ]
憛	~*[HXJ]::[HCDJ]
憜	~*[HBXU]
憝	~*[LHZH][LOZH][LZPH]
憞	~*[HLHP][HLOP][HLZP]
憟	~*[HCM]
憠	~*[LBEH]
憡	~*[HZJS]::[HZJV][HZJ]
憢	~*[HYR]::[HYYR]
憣	~*[HMQ]
憤	~*[HJA]::[HJRB]
憥	~*[FFNH]
憦	~*[HFFD][HRND]
憧	~*[HLQ]
憨	~*[IRPH][TRPH]
憩	~*[GOPH][GOGH]
憪	~*[HMU]
憫	~*[HMW]
憬	~*[HDLS]
憭	~*[HLA]::[HDBS]
憮	~*[HGL]::[HVFF][HEKV][HEK]
憯	~*[HKKD]
憰	~*[HMNO]
憱	~*[HLSK]::[HGLR][HLOKV][HGL][HLOK]
憲	~*[NH]::[NHFH][NFFH][NSR]
憳	~*[HEIA]
憴	~*[HXL]
憵	~[COLHV][PHAR][COLH][PHA]
憶	~*[HZL][HZZ]::[HLDH]
憷	~*[HTTZ]
憸	~*[HAOB]::[HAEV][HOAV][HAE][HOA]
憹	~[HFFKV][HROKV][HFFK][HROK]
憺	~*[HVO]::[HNLI]
憻	~*[HLOE][HLOM]
憼	~*[NHA]::[RNOHV][RNOH]
憽	~*[HRNH]
憾	~*[HKH]::[HAQH]
憿	~*[HPDP]
懀	~*[HAD]::[HAQD]
懁	~*[HON]::[HFEK]
懂	~*[HQ]::[HRGQ]
懃	~*[RCDH]
懄	~*[HRCD]
懅	~*[HZN]::[HZEQ]
懆	~*[HLT]::[HOOT]
懇	~*[DKH]::[UQDH][EQDH]
懈	~*[HNDS]
應	~*[IA]::[LPVH][LHAV][LHA][LSE]
懊	~*[HD]::[HPND][HPOB]
懋	~*[TMTH]
懌	~*[HFY]::[HFYG][HCNR][HCN]
懍	~*[HLOH]
懎	~[HWOOV][HWOO]
懏	~*[HVM]::[HVUV][HVU]
懐	~*[HJFK]::[HLFKV][HLFK]
懓	~*[HENP]::[HHX]
懕	~[LDUH][YHA]
懖	~*[AGOH]
懗	~*[HYFF]
懘	~[WFNHV][WFNH]
懙	~*[HEA]
懚	~[HEIHV][HEIH]
懛	~*[HTE]::[HYOP]
懜	~*[HRFC]
懝	~*[HFVZ]
懞	~*[HRNQ]
懟	~*[FAH][UAH]::[FEBH][AHAV][AHA]
懠	~*[HWH]
懡	~*[HLTU][HLTW]
懢	~*[HRVF]::[HRF]
懣	~*[WRNH]::[MHAR][MHA]
懤	~*[HYYA]
懥	~[HJNZV][HJNZ]
懦	~*[HUR]::[HUTR]
懧	~*[HNT]::[HNHT]
懨	~*[HYN]::[HLAD][HLDD]
懩	~*[HBHA][HBHK][HBKX]
懪	~*[HDRW]
懫	~*[HKKB]
懬	~*[LKH]::[LREH][LRIH][LRQH]
懭	~*[HLK]::[HLRB]
懮	~*[HTDP][HTMP]::[HYXV][HYX]
懯	~*[AJNH][IFPH]
懰	~*[HDDR][HOAR]
懱	~*[HRFA][HRFB][HRFE][HRFV]
懲	~*[KH]::[MIKH][MIEH]
懳	~*[HFFH][HHHH]
懵	~*[HRFM]
懶	~*[HBV]::[HJCB][HVSB]
懷	~*[HK]::[HLFK][HBA]
懸	~*[MUH]::[MESH][MBEH][MBPH][MLSH][MSPH]
懹	~[HLNV][HLOKR][HLN][HLOK]
懺	~*[HGJ]::[HBBE]
懻	~*[HFFB]
懼	~*[QV]::[HMMV][HMEB]
懽	~*[HRE]::[HROV]
懾	~*[HRRR][HRUU]
懿	~*[YNDH]
戀	~*[LFH]::[SISH][ISSH]
戁	~*[UVH]::[RCVH]
戂	~*[HLTS]
戃	~*[HSNF]
戄	~*[HMMU]
戅	~[LDJHV][LDJH]
戇	~*[LDJH]
戈	~*[AQX]
戉	~[AQIV][AQI]
戊	~*[AQP]
戌	~*[AQV]::[AQPE]
戍	~*[AQB]::[AQPA]
戎	~*[AQJ]::[AQXV][AQX]
戏	~[UAQV][UAQ]
成	~*[AY]::[AQN][AQPY]
我	~*[IX]
戒	~*[AQR]
戓	~[AQOS][AQO]
戔	~[AQAQ][KXV][KX]
戕	~*[GAQ]
或	~*[HE]::[AQOE]
战	~[ZOAQV][ZOAQ]
戙	~[NEOQS][NEOQ]
戚	~*[AS]::[AQPS]
戛	~*[TMAQ]
戜	~*[AQOK]
戞	~*[TDNQ][TMNQ]
戟	~*[JDJQ]::[JAQ]
戠	~*[LDAQ]
戡	~*[KAQ]::[KRLQ][KLBQ][KLRQ]
戢	~*[ORAQ]
戣	~*[JEDQ][JGNQ]::[KAQ]
戤	~*[RUFQ][WPFQ]
戥	~*[DSAQ]
戧	~*[ADOQ]
戨	~*[TOTQ]
戩	~*[EFEQ][EUUQ][ODAQ]
截	~*[JVV]::[JAQV]
戫	~*[XHE][XUH]::[XAQE][XUAE]
戭	~*[NAQ]::[NEQQ]
戮	~*[EEBQ][EMAQ]
戯	~[ZFEQV][ZFEQ]
戰	~*[OQ]::[OOQQ][BQJQ][OAQ][ZOAQ]
戱	~[ZFEQR][ZFEQ]
戲	~*[ZQ]::[ZDAQ][UAQ][ZFEQ]
戳	~*[EEVQ]
戴	~*[JB]::[JAQB]
戵	~*[MMVQ]
戶	~*[FP]
户	~[FPV][FP]
戸	~[FPR][FP]
戹	~*[FZL][FZZ]
戺	~*[FOL]
戻	~[FDNV][FDN]
戼	~[YFLF][OIV][RFFS][YFFR][OI][RFF][YFF]
戽	~*[FDJ]
戾	~*[FAD]
房	~*[FFY]
所	~*[FKI]
扁	~*[FMJ]
扂	~*[FZO]
扃	~[FNOV][FNO]
扄	~*[FPNO]
扅	~*[FCC]
扆	~*[FLK]
扇	~*[FEE]
扈	~*[FOC]::[FOCL]
扉	~[FRSSR][FRSS]
扊	~[FFFV][FFF]
手	~*[HJ]
扌	~[,JX]
才	~*[UP]
扎	~*[JLL]
扏	~*[JKX][JKZ]::[JKLS][JKL]
扐	~*[JDX]::[JDYV][JDY]
扑	~*[JPA]
扒	~*[JBN]::[JBAV][JBA]
打	~*[JTI]
扔	~*[JRP]
扖	~[JBP]
扗	~[JYER][JYE]
托	~*[JGL]
扙	~[JQXV][JQX]
扚	~*[JNA]
扛	~*[JIE]
扜	~*[JUJ]
扝	~[JRKV][JRK]
扞	~*[JGJ]
扟	~*[JZJ]
扠	~[JUAV][JUA]
扡	~[JALV][JAL]
扢	~[JVZV][JVZ]
扣	~*[JOV]::[JOOV][JOO]
扤	~[JERV][JER]
扥	~*[JQL]
扦	~[JGJV][JGJ]
执	~*[JZA]::[JKAF][JZXV][JKA][JZX]
扭	~*[JEE]
扮	~*[JBD]
扯	~*[JZE]
扰	~[JAKV][JAK]
扱	~*[JRN]::[JPUV][JPU]
扲	~*[JAY]
扳	~*[JLU]
扴	~*[JBR]
扵	~*[JBB]
扶	~*[JQN]
扷	~[JGNR][JPDV][JGN][JPD]
扸	~*[JPI][JPY]
批	~*[JBL]
扺	~*[JXX]
扻	~*[JIN]
扼	~*[JLP]
扽	~[JELV][JEL]
找	~*[JAQ]
承	~*[WSJ]::[WSBB]
技	~*[JJU]
抁	~[JURV][JUR]
抂	~[JKER][JKE]
