$	~*[,DOL][,SIS][,SI]
㋃	~*[,FUE]
㋄	~*[,WUE]
㋅	~*[,LUE]
㋆	~*[,CUE]
㋇	~*[,BUE]
㋈	~*[,KUE]
㋉	~*[,EOU]*[,JUE]
㋊	~*[,EEU]*[,JEU]
㋋	~*[,ERU]*[,JRU]
㋐	~*[,OA.]
㋑	~*[,OI.]
㋒	~*[,OU.]
㋓	~*[,OE.]
㋔	~*[,OO.]
㋕	~*[,OKA]
㋖	~*[,OKI]
㋗	~*[,OKU]
㋘	~[,OKEV][,OKE]
㋙	~*[,OKO]
㋚	~[,OSA]
㋛	~*[,OSI]
㋜	~*[,OSU]
㋝	~*[,OSE]
㋞	~*[,OSO]
㋟	~*[,OTA]
㋠	~*[,OTI]
㋡	~*[,OTU]
㋢	~*[,OTE]
㋣	~*[,OTO]
㋤	~*[,ONA]
㋥	~*[,ONI]
㋦	~*[,ONU]
㋧	~[,ONEV][,ONE]
㋨	~*[,ONO]
㋩	~*[,OHA]
㋪	~*[,OHI]
㋫	~*[,OHU]
㋬	~*[,OHE]
㋭	~*[,OHO]
㋮	~*[,OMA]
㋯	~*[,OMI]
㋰	~[,OMUV][,OMU]
㋱	~*[,OME]
㋲	~*[,OMO]
㋳	~*[,OYA]
㋴	~*[,OYU]
㋵	~*[,OYO]
㋶	~*[,ORA]
㋷	~[,ORIV][,ORI]
㋸	~*[,ORU]
㋹	~*[,ORE]
㋺	~[,OROV][,ORO]
㋻	~[,OWAV][,OWA]
㋼	~*[,OWI]
㋽	~*[,OWE]
㋾	~*[,OWO]
㍱	~*[,HPA]
㍲	~*[,DA]
㍳	~*[,AU]
㍴	~*[,BAR]
㍵	~[,OVR][,OV]
㍶	~*[,PC]
㍻	~[,PAR][,PA]
㍼	~*[,DH]
㍽	~[,DER][,DE]
㍾	~[,DW]
㍿	~*[,TAA]*[,TAR]
㎀	~*[,PA]*[,PAA]
㎁	~[,NA]
㎂	~*[,MUA][,UAV][,UA]
㎃	~*[,MA]
㎄	~[,KAV][,KA]
㎅	~*[,KB]
㎆	~*[,MB]
㎇	~[,GBS][,GB]
㎈	~*[,CAL]
㎉	~*[,KCA]
㎊	~*[,PF]
㎋	~*[,NF]
㎌	~*[,MUF]*[,UF]
㎍	~*[,MUG]*[,UG]
㎏	~*[,KG]
㎐	~*[,HZ]
㎑	~*[,KHZ]
㎒	~*[,MHZ]
㎓	~*[,GHZ]
㎔	~*[,THZ]
㎕	~*[,MUL]*[,UL]
㎖	~*[,ML]
㎗	~[,DL]
㎘	~*[,KL]
㎙	~*[,FM]
㎚	~*[,NM]
㎛	~*[,MUE]*[,MUM]*[,UM]
㎜	~*[,MM]
㎝	~*[,CM]
㎞	~*[,KM]
㎟	~*[,MMM]*[,MMR][,MMMR]
㎠	~*[,CMM]*[,CMR]
㎡	~*[,MR][,MMV][,MM]
㎢	~*[,KMM]*[,KMR]
㎣	~*[,MMS][,MMMV][,MMM]
㎤	~*[,CMS][,CMMV][,CMM]
㎥	~*[,MS][,MMM]
㎦	~*[,KMS][,KMMV][,KMM]
㎧	~*[,MPS]
㎨	~[,MPSV][,MPS]
㎩	~[,PAV][,PA]
㎪	~*[,KPA]
㎫	~*[,MPA]
㎬	~*[,GPA]
㎭	~*[,RAD][,RADR]
㎮	~[,RADV][,RAD]
㎯	~[,RAD]
㎰	~*[,PS]
㎱	~*[,NS]
㎲	~*[,MUS]*[,US]
㎳	~[,MSV][,MS]
㎴	~*[,PV]
㎵	~*[,NV]
㎶	~*[,MUV]*[,UV]
㎷	~*[,MV]
㎸	~*[,KV]
㎹	~[,MVV][,MV]
㎺	~*[,PW]
㎻	~*[,NW]
㎼	~*[,MUW]*[,UW]
㎽	~*[,MW]
㎾	~*[,KW]
㎿	~[,MWV][,MW]
㏀	~*[,KO]*[,KOH]*[,KOM]
㏁	~*[,MO]*[,MOH]*[,MOM]
㏂	~*[,AM]*[,A.M]
㏃	~*[,BQ]
㏅	~*[,CD]
㏆	~*[,CKG]*[,CPK]
㏇	~*[,CO.][,COV][,CO]
㏈	~[,DB]
㏉	~[,GYR][,GY]
㏊	~[,HAL][,HA]
㏋	~[,HPV][,HP]
㏌	~*[,IN]
㏍	~*[,KK]*[,K.K]
㏎	~[,KMV][,KM]
㏏	~*[,KT]
㏐	~*[,LM]
㏑	~*[,LN]
㏒	~*[,LOG]
㏓	~*[,LX]
㏔	~[,MBV][,MB]
㏕	~*[,MIL][,MILR]
㏖	~*[,MOL]
㏗	~*[,PH]
㏘	~*[,PM]*[,P.M]
㏙	~*[,PPM]
㏚	~*[,PR]
㏛	~[,SRR][,SR]
㏜	~*[,SV]
㏝	~*[,WB]
一	~*[E]
丁	~*[TI]
七	~*[C]
万	~*[VY][ENYV][ENY]
丈	~*[QX]
三	~*[S]
上	~*[FE]
下	~*[FA]
不	~*[BA]
与	~*[EA][KEJ][KEER][KEE]
丐	~*[FKK]
丑	~*[EE]
且	~*[ME]
丕	~*[BEE]
世	~*[SL]
丗	~[SO]
丘	~*[KEE][POEV][POE]
丙	~*[ENB][TNBV][EN][TNB]
丞	~[WEE]
両	~*[EB][EBA][EBN][EBP][ENBB][ENE][TNBB][TNE][TNU][ENUV][ENU]
並	~*[BE][BEFE][BKJ][BOE]
丨	~[,IIR][,IS][IIR][II][,I][,II]
个	~[BIIV][SIV][BII][SI]
中	~*[CI][CJV][CJ]
丱	~[FIV][FI]
串	~*[CCI]*[CCJ]
丶	~*[,AA][,AV][AAV][AA][,A][,.]
丸	~*[ZX][KAA]
丹	~*[NAE][NLEV][NLJV][NLE][NLJ]
主	~*[AKE]
丼	~*[JAA]*[JAJ]
丿	~*[,PP][PP]
乂	~*[,XX][XXV][XX]
乃	~*[RP]
久	~*[NV][NNN]
之	~*[AZ][AZN]
乍	~*[VFE]
乎	~[HJV][HJ]
乏	~*[BZN]*[PAZ]*[PZN]
乕	~[LQNV][LQN]
乖	~*[GFF]
乗	~*[GRS]*[GRT][GJJS][GYYS][GSV][GS]
乘	~*[GS][GFFS]
乙	~*[ZL]*[ZZ]
九	~*[K]
乞	~*[VZL]*[VZZ]
也	~*[AL]
乢	~*[ELL]
乱	~*[GOL]
乳	~*[EZL]
乾	~*[JVZ][JDJZ]
亀	~*[NQL]*[NXL][NQIL][NQQL]
亂	~*[ETNL][GOLR][GOL]
亅	~*[,II][II]
了	~*[WI]
予	~*[UI]
争	~*[EEJ]*[NEJ]
亊	~*[JBE][JCEV][VEJV][JCE][VEJ]
事	~*[JCE]*[VEJ]
二	~*[R]
于	~*[UJ]
云	~[TAV][TA]
互	~*[DEE]
五	~*[W]
井	~*[JJ]
亘	~[EDEV][EDE]
亙	~*[DAE]
些	~*[ZFR]
亜	~*[OE][EFE]
亞	~[OEV][OE]
亟	~*[KOUE]*[WOUE]
亠	~*[,LE]
亡	~*[BLL]*[FLV][FL]
亢	~*[LRL]*[LRZ]
交	~*[LXX]
亥	~*[LHN][LHAV][LHA]
亦	~*[LFA]
亨	~*[LHW]*[LOW]*[LWI]
享	~*[LHZ]*[LOZ]*[LZJ]
京	~*[LOS]*[LSA]
亭	~*[LNT]*[LTV][LHNT][LONT]
亮	~*[LNR]*[LRV][LHNR][LONR]
亰	~*[LDS]
亳	~*[LGV]*[LNG][LHNG][LONG]
亶	~*[LOOE]
人	~*[BN]
什	~*[PJJ]
仁	~*[PRE]
仂	~[PDXV][PDYV][PDX][PDY]
仄	~*[LBN]
仆	~*[PPA]
仇	~*[PKL]*[PKX]*[PKZ]
今	~*[AYY]
介	~*[VR][BRV][BRIV][BRI]
仍	~*[PRP]
从	~[BBNR][BBN]
仏	~*[PUA]
仔	~*[PZJ]
仕	~*[PYE]*[PYV]
他	~*[PAL]
仗	~*[PQX]
付	~*[PAA]
仙	~*[PEI]
仝	~*[BIE]*[,BI]*[,BIE]
仞	~*[PDA]
仟	~*[PGJ]*[,DG]
仡	~*[PVZ]
代	~*[PAX]
令	~*[API]*[ATA]
以	~*[U][UBA][UBN]
仭	~*[PDN]
仮	~*[PLU]
仰	~*[PFP]
仲	~*[PCI]*[PCJ]
件	~*[PSJ]
价	~*[PBR]
任	~*[PKE]
仼	~[PKEV][PKE]
伀	~*[PBU]
企	~*[BZE]
伃	~*[PUI]
伉	~*[PLR]
伊	~*[PEX]
伍	~*[PWE]*[,DW][,DWV]
伎	~*[PJU]
伏	~*[PAD]
伐	~*[PAQ]
休	~[PTNV][PTN]
会	~*[AD][ADA][AEU][BTA]
伜	~*[PKJ]
伝	~*[PTA]
伯	~*[PPD]
估	~*[PJO]
伴	~*[PBJ]
伶	~*[PAP]*[PAT]
伸	~*[PII][PIQI]
伹	~*[PME]
伺	~*[PEO][PYEO]
似	~*[PUB]
伽	~[PDOR][PDO]
佃	~[PQOV][PQO]
但	~*[PDE]
佇	~*[PNT]
位	~*[PLE]
低	~*[PXE]
住	~*[PAK]
佐	~*[PXI]
佑	~*[PXO]
体	~*[PTE][QUFD]
何	~*[PTO]
佖	~*[PHP]
佗	~*[PNF]
余	~*[ATN]*[BHA]*[BHN]
佚	~*[PSN]
佛	~*[PVJ]
作	~*[PVF]
佝	~[PNOV][PNO]
佞	~*[PRG]
佩	~*[PREN]*[PRTN]
佯	~*[PBH]
佰	~*[PTD]*[,DP]
佳	~*[VE]
併	~*[PBK]
佶	~*[PYO]
佻	~*[PRA][PRBB]
佼	~*[PLX]
使	~*[PC][PJC][PJCX][PVX]
侃	~*[POS]
來	~[LNV][LN]
侈	~*[PCC]
侊	~*[PSER]
例	~*[PDR]
侍	~*[PYA]
侏	~*[PSB]*[PSS]
侑	~*[PXU]
侒	~[PNGV][PNG]
侔	~*[PUS]
侖	~*[AMJ]*[BFL]
侘	~*[PNG]
侚	~*[PND]
供	~*[PRB]
依	~*[PLK]
侠	~*[PGN]
価	~*[PCO]
侫	~*[PFG]
侭	~*[PCNB]*[PEFF]
侮	~*[PMV][PVOJ][PVOM][PVOX]
侯	~*[PFVD]
侵	~*[PRX][PENU]
侶	~*[POV][POPO]
便	~*[PTX][PTQX]
係	~*[PS][PES][PPS]
促	~*[PZ][POZ]
俄	~*[PIX]
俉	~[PWOV][PWO]
俊	~*[PHX][PUBP][PURP]
俍	~*[PADK][PANV][PAN]
俎	~*[BBM]
俐	~*[PHR]
俑	~*[PTJ][PTNQ]
俔	~*[PMR]
俗	~*[PWO][PBBO]
俘	~*[PEZ]
俚	~*[PQE]
俛	~*[PEL][PDCR][PNCR]
保	~*[POT]
俟	~*[PAN][PUVD]
信	~*[PIO]
俣	~*[POED]*[POGN]*[POKD]
俤	~*[PTP][PBQP]
俥	~[PCJV][PCJ]
修	~*[PP][PIPM]
俯	~*[PLPA]
俳	~*[PRSS]
俵	~*[PHK]
俶	~*[PFSU]
俸	~*[PFNQ]
俺	~*[PXL][PDIL][PDQL]
俾	~*[PGV][PPGV][PPQGV][PPG][PPQG]
俿	~*[PZR]
倅	~[PJJV][PJJ]
倆	~*[PEB][PENB][PTNB]
倉	~*[ADO]*[BPL]
個	~*[PO][BII][POJO][VII]
倍	~*[PLO]
倏	~*[PIPD]
們	~*[QM][PMI][PMY]
倒	~*[PPR]
倔	~*[PCEE]*[PCEU]
倖	~*[PYJ][PYBG]
候	~*[PD][PIFD]
倚	~*[PVO][PDTO]
倞	~*[PLS][PLOS]
借	~*[PRD]
倡	~*[PDD]
倢	~*[PJZ][PJEZ][PZEZ]
倣	~*[PPV][PFPV][PFP]
値	~*[PJE]*[PJL][PJME][PJML]
倥	~*[PNBI]*[PNRI]
倦	~*[PPL][PBNL][PBNP]
倨	~*[PCJO]
倩	~*[PHU]
倪	~*[PGR]
倫	~*[PAM]*[PBF]
倬	~*[PQJ][PZDJ]
倭	~*[PHG]
倶	~*[PMEB]
倹	~*[PAC]*[POA][PACB][PAOB]
偀	~[PRC]
偂	~*[PBI][PBER]
偃	~*[PFDG]
偆	~*[PFND]
假	~*[POX][POFU]
偈	~*[PDL][PDNF][PDNL]
偉	~*[PWJ][PWOS]
偏	~*[PFM]
偐	~*[PLLM]*[PLPM]*[PWLM]
偕	~*[PBPD]
偖	~*[PHO]*[PYD][PYPD]
做	~*[PJX][PJOP]
停	~*[PT][PLHT][PLNT][PLOT]
健	~*[PEW]
偬	~*[PNQH]
偰	~*[PFDD]*[PHDD]
偲	~*[PQH]
側	~*[PR][PMBR]
偵	~*[ZM][PZMB]
偶	~*[PU][PQNU]
偸	~*[PAI][PAUR]
偽	~*[PBWF]*[PEWF]*[PUWF]*[PYWF]
傀	~*[PVA][PPQU]
傅	~*[PIA][PAJA]
傍	~*[PGY][PLNF]
傑	~*[PCT][PCST]
傔	~*[PQN]
傘	~*[BBJ][BBBJ]
備	~*[P][PPQ][PQO][PRLQ][PRPQ]
傚	~*[PLXP]
催	~*[PEV]
傭	~*[PLEQ]
傲	~*[PHNP]*[PYFP]
傳	~*[PXA][PCUA][PJQA]
傴	~*[PFX][PFOO]
債	~*[DZ][PHMB]
傷	~*[PVD]*[PVE][PVDM]
傾	~*[PFT][PFTB]
僂	~*[PMG]
僅	~*[PRC][PUXV][PUX]
僉	~*[ACN]*[ASE][AOOB][AEV][OAV][AE][OA]
僊	~*[PCDL]*[PCDP]
働	~*[PGQD]
像	~*[PNN][PNCQ]
僑	~*[PGO][PEDO][PGNO][PGNR][PPDO]
僕	~*[PVN][PFED][PFBV][PFB]
僖	~*[PYDO]*[PYOO]
僘	~*[PSNP]
僚	~*[PLA][PDBS]
僞	~[PBWFV][PEWFV][PBWF][PEWF]
僣	~*[PQND]
僥	~*[PYR][PQER][PYYR]
僧	~*[PBO][PBQD]
僭	~*[PKKD]
僮	~*[PLQ]
僴	~[PMDV][PMD]
僵	~*[PEQE]
價	~*[PCMB][PBRV][PCOV][PBR][PCO]
僻	~*[PPJ][PCOL]
儀	~*[PBX][PBKI][PAXV][PAX]
儁	~*[PVM]*[PVU]
儂	~*[PNK][PFFK][PROK][PTTK]
億	~*[PH][PLDH][PZL][PZZ]
儉	~*[PAE][PASE][PACV][PAOBV][POAV][PAC][PAOB][POA]
儒	~*[PUR][PUTR]
儔	~*[PFA][PYYA]
儕	~*[PWH]*[PWR]
儖	~*[PRF][PRVF]
儘	~*[PF][PCNBV][PEFFV][PCNB][PEFF]
儚	~*[PRFC]
償	~*[PSNB]*[PSNT]
儡	~*[PQQQ]
優	~*[PK][PTDP][PTMP][PYX][PAKV][PAK]
儲	~*[XM][PIH][PIYD]
儷	~*[PLLB][PLAV][PLA]
儺	~*[PUV][PRCV]
儻	~*[PSNF]
儼	~*[POOP]*[PSLP][POXV][POX]
儿	~*[RL]
兀	~*[ERL]
允	~[URLV][URL]
元	~*[RRL]
兄	~*[ORL]
充	~*[TL][TRL]
兆	~*[RA][RBB]
兇	~*[XUR]
先	~*[SRL]
光	~*[SER]
兊	~*[BUR]
克	~*[JOR]
兌	~*[BOR]
免	~*[DCR]*[NCR][ELV][EL]
兎	~*[DCRA]*[NCRA]*[PCRA]
児	~*[GRL]*[IDR]
兒	~[GRLV][IDRV][GRL][IDR]
兔	~[DCRAV][EAAR][NCRAV][PCRAV][DCRA][EAA][NCRA][PCRA]
党	~*[SF][SNOF][SNOR]
兜	~*[FPDR]*[PDFR]
兢	~*[JORR]
兤	~*[SERB]*[SERK]
入	~*[BP]
全	~*[BK][BKE]
兩	~[EBAV][EBNV][EBPV][EBV][ENBBV][TNBBV][EB][EBA][EBN][EBP][ENBB][TNBB]
兪	~*[AI][AUR]
八	~*[B]
公	~*[BUA]
六	~*[L]
兮	~*[AKK]*[BKK]
共	~*[RB][RBA]
兵	~*[KV][KEB][POB]
其	~[KBAV][KBA]
具	~*[MEB]
典	~*[FBA][RORB]
兼	~*[QN][BEEF]
冀	~*[FFQB]
冂	~*[,NY][NYV][NY]
内	~*[NBN]*[NBP]
円	~*[OB][NLE]
冉	~*[NYE]*[NYJ]
冊	~*[MJ][NNE][NRJ]
册	~[NNEV][NRJV][MJ][NNE][NRJ]
再	~*[EY][ENY][TNY]
冏	~*[NRO][NBOV][NBO]
冐	~[DUEV][DUE]
冑	~[IQUV][IQU]
冒	~*[DMO]
冓	~*[JNY][JE]
冕	~*[DRV][DDCRV][DELV][DNCRV][DDCR][DEL][DNCR]
冖	~[,NYV][NYR][NY][,NY]
冗	~*[NRL]*[NRZ]
写	~*[NF][NGNF][NKE]
冝	~[NMEV][NME]
冠	~*[KC][NRRA]
冢	~*[NEQA]
冤	~[NDCAV][NNCAV][NDCA][NNCA]
冥	~*[NDL]
冦	~*[NRRU]
冨	~[NEOQR][NEOQ]
冩	~[NGNFV][NGNF]
冪	~*[NRDN]
冫	~*[,BE][BE]
冬	~*[PBA]
冰	~[AWNR][BWNR][AWN][BWN]
冱	~[BDEV][BDE]
冲	~[BCIV][BCJR][BCI][BCJ]
决	~[BJNV][BJN]
冴	~*[BXP]*[BYP]
况	~[BORV][BOR]
冶	~*[BUO]
冷	~*[BAP]*[BAT]
冽	~*[BDR]
冾	~*[BAO]
凄	~*[BJG]*[WJG][BJEG][WJEG]
凅	~*[BOJO]
准	~*[BVE]
凉	~[BLOSV][BLSV][BLOS][BLS]
凋	~*[BNO][BNYO]
凌	~[BYBPV][BYRPV][BYXV][BYBP][BYRP][BYX]
凍	~*[BC][BSV][BCSV][BJQSV][BCS][BJQS]
凖	~*[BVJ][WVJR][WVJ]
凛	~*[BLOH][BLOSR][BLOS]
凜	~[BLOHV][BLOSS][BLOH][BLOS]
凝	~*[BZ][BFVZ]
几	~[RLV][RL]
凡	~*[RAA][PRLV][PRZV][PRL][PRZ]
処	~*[PRL]*[PRZ]*[ZPR]
凧	~[RNIS][RNJV][RNI][RNJ]
凩	~[RTNV][RTN]
凪	~[RZEV][RZE]
凬	~*[RED]
凭	~*[PKR]
凰	~*[RPDK]
凱	~*[EDR][EFLR]
凵	~*[,UI][UIV][UI]
凶	~*[XUI]
凸	~[RUOV][RUO][TO]
凹	~*[MEO][UEOV][UEO][UO]
出	~*[EEI]*[EUI]
函	~*[KBBU]*[WBBU][WUIV][WUI]
凾	~*[KOUU]*[WOUU]
刀	~*[DP]
刃	~*[DAX][DAAV][DAA]
刄	~*[DNX]
分	~*[BDP]
切	~*[CDP]
刈	~*[XRI]
刊	~*[GRI]
刋	~[GRIV][GRI]
刎	~*[NMR]
刑	~*[KRI]
刔	~[JRIV][JRI]
刕	~[DDDV][DDD]
列	~*[DRI]
初	~*[VDP]
判	~*[BRI]
別	~*[ODR]*[ONR]
刧	~[YUDV][YUD]
利	~*[HRI]
刪	~*[MRI][NNER][NRRV][NRR]
刮	~*[GOR]
到	~*[PRI]
刳	~*[DRKR][XRIV][XRI]
制	~*[SNR]
刷	~*[CNR]
券	~*[BND]
刹	~*[XTR][XATR]
刺	~*[JR][JNSR][JRI]
刻	~*[LHR]
剃	~*[TRI][BQIR][BQPR]
剄	~*[SIR]*[UIR]*[UYR][ESIR]
則	~*[MBR]
削	~*[SUR]
剋	~[JORRV][JORR]
剌	~*[VSR][JCSR]
前	~*[BI][BEUR]
剏	~*[BKDN]
剔	~*[ERI][DNMR]
剖	~*[LOR]
剛	~*[NR][NBER][NXR]
剞	~*[VRI][DTOR]
剣	~*[ACR]*[ORI][ACBR][AOOR]
剤	~*[WHR]*[WRR]
剥	~*[CR][CEWR][EWR]
剩	~[GFFRV][GRV][GFFR][GR]
剪	~*[BDV][BEUD][BDPV][BDP]
副	~*[VC][EOQR]
剰	~*[GR][GFFR][GRSR][GRTR][GYYR]
剱	~*[ACDX][AOODR][AOOXR][AOOD][AOOX]
割	~*[NFOR]*[NHOR]
剳	~*[RAOR][RORR][ROR]
剴	~[EDRV][EDR]
創	~*[AR][ADOR][BPR]
剽	~*[CRSR]
剿	~*[SQTR]
劃	~*[ER][EQER][TQUR][AQRV][AQR]
劇	~*[ZR][CJOR][ZEQR][ZRI]
劈	~*[PDP][COLD]
劉	~*[OAR]*[WRV][DDAR][WRIV][WRI]
劍	~*[ARI][ASER][ACRV][AOORV][ORIV][ACR][AOOR][ORI]
劑	~[WHRV][WRRV][WHR][WRR]
劒	~*[ACDA]*[AOOA]*[ASED][ADAR][AOODV][AOOXV][ADA][AOOD][AOOX]
劔	~*[ACDN]*[AOOD]*[AOOX]*[ASEX][ODNV][ODN]
力	~*[DX]*[DY]
劜	~*[DLL]
功	~*[IDX]*[IDY]
加	~*[DOO]
劣	~*[SDX]*[SDY]
劦	~[DDDR][DDD]
助	~*[MDX]*[MDY]
努	~*[GUD]
劫	~*[YUD]
劬	~*[NOD]
劭	~*[DOD]
劯	~[LODV][LOD]
励	~*[LVD][LEND][FNDV][FND]
労	~*[RND]*[SND][FFND]
劵	~[BNDV][BND]
効	~*[LXD]*[LXP]
劼	~*[YOD]
劾	~*[LHD]
勀	~*[JORD]
勁	~*[SID]*[UID]*[UYD][ESID]
勃	~*[JNZD]
勅	~*[VSD][JCSD]
勇	~*[TDX]*[TDY]*[TQD][TNQD]
勉	~*[EDX]*[EDY][DCRD][NCRD]
勍	~*[LSD][LOSD]
勒	~*[RY][RCDV][RCD]
動	~*[GD][GQD][TDXV][TDYV][TDX][TDY]
勗	~*[DMD]
勘	~*[KD][KDX][KDY][KLRD][KRLD]
務	~*[MPD]*[PDX]*[PDY]
勛	~[OMBDV][OMBD]
勝	~*[UD][UBND][USE]
勞	~[FFNDV][RNDV][SNDR][FFND][RND][SND]
募	~*[RDDD]
勠	~*[EMD][EEBD]
勢	~*[YD][JZD][YBYD][YKAD][YRYD][YZD]
勣	~*[HMBD]
勤	~*[RCD]
勦	~*[SQTD]
勧	~*[RDX]*[RDY]*[UDX]*[UDY]*[VDX]*[VDY][ROOD]
勲	~*[GQDF]*[GQFD]
勳	~[GQDFV][GQFDV][GQDF][GQFD]
勵	~*[LD][LRQD][LVDV][LVD]
勸	~[RDXV][RDYV][ROODV][VDXV][VDYV][RDX][RDY][ROOD][VDX][VDY]
勹	~[,NYR][NYS][NY][,NY]
勺	~[NAAV][NAA]
勾	~*[NUA]
勿	~*[NM][NMPV][NMP]
匀	~[NBEV][NREV][NBE][NRE]
匁	~*[NXX]
匂	~[NFLV][NFL]
包	~*[NL][NFL][NOL]
匆	~*[NQX][NQHV][NQH]
匇	~[NCAR][NCA]
匈	~[NXUR][NXU]
匍	~*[NIJ][NAJQ]
匏	~*[DRKL]*[DRKN][XNFLV][XNLV][XNOLV][XNFL][XNL][XNOL]
匐	~[NEOQS][NEOQ]
匕	~[FLR][FL]
化	~*[PFL]
北	~*[FFL]
匙	~*[JFL][DEZF]
匚	~*[,FL][FLS][FL]
匝	~*[FNI]*[FNJ]
匠	~*[FKV][FKIV][FKI]
匡	~*[FKE]
匣	~*[FQI]
匤	~[FKAV][FKA]
匪	~*[FS][FRSSV][FRSS]
匯	~*[FWV]*[WFV][WFLV][WFL]
匱	~*[FQA][FCEB]
匳	~*[FAC]*[FOA][FAOB][FASE]
匸	~[,FLV][FLF][FL][,FL]
匹	~*[FRL]
区	~*[FXX]
医	~*[FVD][FVDE]
匿	~*[FRO][FRXO]
區	~*[FV][FOOO][FXXV][FXX]
十	~*[J][,JV][,J]
千	~*[GJ]
卅	~[SJV][SJ]
卆	~*[KJJ]
升	~*[XJ]
午	~*[WJ]
卉	~*[JRJ]
半	~*[BJ]
卍	~*[ZKJ]*[ZZJ]*[,ZK]*[,ZKJ]*[,ZZ]*[,ZZJ]
卑	~*[PQG][PGJV][PGJ]
卒	~*[JJJ]
卓	~*[QJ][ZDJ]
協	~*[JQ][JDB][JDDD]
南	~*[N][JNBG]
単	~*[OJ][BQJ][OOQJ][SQJ]
博	~*[JACA][JAJAV][JIAV][JAJA][JIA]
卜	~*[PA]
卞	~[LPAV][LPA]
占	~*[ZOO]
卦	~*[YYP]
卩	~*[,PI][PI]
卮	~*[FPL]
卯	~*[DPI]
印	~*[EPI]
危	~*[NP][NLP]
卲	~*[DOP]
即	~*[GI][DUP]
却	~*[WPI]*[YUP][BBOP]
卵	~*[DAPA]*[EPPA]*[FYPA]
卷	~*[BNP][PLV][PL]
卸	~*[WZP]
卻	~[BBOPV][WPIV][YUPV][BBOP][WPI][YUP]
卿	~*[DGI][DADP][DDUP]
厂	~*[,LP][LP]
厄	~*[LPL]
厓	~*[LYY]
厖	~*[LAM][LAKM]
厘	~[LQEV][LQE]
厚	~*[LDZ]
原	~*[YA][LPDS]
厠	~*[LMBR]
厥	~*[LBEI]
厦	~*[LTMP]
厨	~*[LDA][LYDA]
厩	~*[LDL][LDUK]
厭	~*[YN][LAD][LDUD]
厮	~*[LKBK]
厰	~[LSNPV][LSNP]
厲	~*[LU][LRQU][LVY][LENV][LEN]
厳	~*[OX][OOLP][OPP][SLIP]
厶	~*[,UA][UAV][UA]
去	~*[YUA]
参	~*[UM][UDM][UMP][UUUM]
參	~*[,DS][,DSV][UDMV][UDSV][UMPV][UUUMV][UDM][UDS][UM][UMP][UUUM]
又	~*[UX]
叉	~*[UAX][UAAV][UAA]
及	~*[PUX]*[RNX]
友	~*[XUX]
双	~*[UUX]*[VVU]
反	~*[LUX]
収	~*[GPX]*[GUX]
叔	~*[FSU]
取	~*[RUX]
受	~*[ENU]
叙	~*[BHP]*[BHU]
叛	~[BLUV][BLU]
叝	~*[YUPU]
叟	~*[GIU][GUXR][GUX]
叡	~*[ZNBU]*[ZNEU]
叢	~*[BBE]*[FRU][FEBU]
口	~*[OO]
古	~*[JOO]
句	~*[NOO]
叨	~*[ODP]
叩	~*[OPI]
只	~*[OBA]
叫	~*[OGI]*[OGJ]
召	~*[DV][DOOV][DOO]
叭	~[OBNV][OBN]
叮	~*[OTI]
可	~*[TO][TOO]
台	~*[UO][UOO]
叱	~*[OFL]
史	~*[CX]
右	~*[XOO]
叶	~[OJJR][OJJ]
号	~*[OL][OKK]
司	~*[EO][YEO]
叺	~*[OBP]
吁	~*[OUJ]
吃	~*[OVZ]
各	~*[POO]
合	~*[AOO]
吉	~*[YOO]
吊	~*[ONI]*[ONJ]
吋	~[OAAV][OAA]
同	~*[NEO]
名	~*[COO]
后	~*[FOO]
吏	~*[JCX]*[VXX]
吐	~*[OYE]
向	~*[PNO]
君	~*[EOO]
吝	~*[WOV][WOOV][WOO]
吟	~*[OAY]
吠	~*[OAD]
否	~*[BOO]
吩	~*[OBD]
含	~*[AYO]
听	~*[OKI]
吭	~[OLRV][OLR]
吮	~*[OUR]
吶	~*[ONB]
吸	~*[OPU]*[ORN]
吹	~*[OIN]
吻	~*[ONM]
吼	~*[OZL]
吽	~*[OSJ]
吾	~*[WOO]
呀	~*[OXP]*[OYP]
呂	~*[OPO][OVV][OV]
呆	~*[OTV][OTNV][OTN]
呈	~*[OKE]
呉	~*[OED]*[OKD][OKEB][OGNV][OGN]
告	~*[SOO]
呎	~*[OCN]
呑	~*[GNO][EDOV][PDOV][EDO][PDO]
呟	~*[OLW]
周	~*[NO][NYO]
呪	~*[OOR]
呰	~*[ZFO]
呱	~*[OGA][OGNR][OGN]
味	~*[OQB]*[OYS]
呵	~*[OTO]
呶	~*[OGU]
呷	~*[OQI]
呻	~*[OII][OIQI]
呼	~*[OHJ]
命	~*[AOP]
咀	~[OMEV][OME]
咄	~*[OEE]*[OEU]
咆	~*[ONL][ONFL][ONOL]
咊	~*[OHN]
咋	~*[OVF]
和	~*[HOO]
咎	~*[PPO][PBOV][PBO]
咏	~*[OUN]
咐	~*[OPA]
咒	~[OORV][OOR]
咜	~[ONFR][ONF]
咢	~[OORK][OKV][OK]
咤	~*[ONG]
咥	~*[OPE]
咨	~*[BIO]*[RIO]
咩	~*[OBH]
咫	~*[CNOB]
咬	~*[OLX]
咯	~[OPOV][OPO]
咲	~*[OGN][OBED][OBGN]
咳	~*[OLH]
咸	~*[KO][AQPO][AQVO]
咼	~*[QOO][ONBV][ONB]
